"filename", "language", "JavaScript", "PHP", "JSON", "XML", "Markdown", "SCSS", "PostCSS", "MS SQL", "comment", "blank", "total"
"/home/zougmore/annuaire5/app/Models/Rapport.php", "PHP", 0, 86, 0, 0, 0, 0, 0, 0, 3, 15, 104
"/home/zougmore/annuaire5/app/Models/ScheduledNotification.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 0, 1, 4, 11
"/home/zougmore/annuaire5/app/Models/SystemSetting.php", "PHP", 0, 155, 0, 0, 0, 0, 0, 0, 5, 38, 198
"/home/zougmore/annuaire5/app/Models/Traitement.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/zougmore/annuaire5/app/Models/TypeConge.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 0, 1, 4, 11
"/home/zougmore/annuaire5/app/Models/TypeDemande.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/zougmore/annuaire5/app/Models/User.php", "PHP", 0, 214, 0, 0, 0, 0, 0, 0, 24, 40, 278
"/home/zougmore/annuaire5/app/Models/UserLeaveQuota.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 0, 1, 4, 11
"/home/zougmore/annuaire5/app/Notifications/DemandeNotification.php", "PHP", 0, 38, 0, 0, 0, 0, 0, 0, 12, 8, 58
"/home/zougmore/annuaire5/app/Notifications/DemandeSoumise.php", "PHP", 0, 39, 0, 0, 0, 0, 0, 0, 18, 10, 67
"/home/zougmore/annuaire5/app/Notifications/DemandeTraitee.php", "PHP", 0, 39, 0, 0, 0, 0, 0, 0, 17, 7, 63
"/home/zougmore/annuaire5/app/Notifications/LeaveReminderNotification.php", "PHP", 0, 29, 0, 0, 0, 0, 0, 0, 18, 8, 55
"/home/zougmore/annuaire5/app/Notifications/NotificationGenerale.php", "PHP", 0, 29, 0, 0, 0, 0, 0, 0, 18, 8, 55
"/home/zougmore/annuaire5/app/Policies/DemandePolicy.php", "PHP", 0, 25, 0, 0, 0, 0, 0, 0, 13, 6, 44
"/home/zougmore/annuaire5/app/Policies/RapportPolicy.php", "PHP", 0, 46, 0, 0, 0, 0, 0, 0, 29, 11, 86
"/home/zougmore/annuaire5/app/Providers/AppServiceProvider.php", "PHP", 0, 22, 0, 0, 0, 0, 0, 0, 11, 11, 44
"/home/zougmore/annuaire5/app/Providers/AuthServiceProvider.php", "PHP", 0, 16, 0, 0, 0, 0, 0, 0, 9, 5, 30
"/home/zougmore/annuaire5/app/Providers/RouteServiceProvider.php", "PHP", 0, 45, 0, 0, 0, 0, 0, 0, 9, 10, 64
"/home/zougmore/annuaire5/app/Providers/ServiceServiceProvider.php", "PHP", 0, 15, 0, 0, 0, 0, 0, 0, 8, 5, 28
"/home/zougmore/annuaire5/app/Services/CongeService.php", "PHP", 0, 162, 0, 0, 0, 0, 0, 0, 30, 34, 226
"/home/zougmore/annuaire5/app/Services/LdapAuthService.php", "PHP", 0, 143, 0, 0, 0, 0, 0, 0, 21, 30, 194
"/home/zougmore/annuaire5/app/Services/LeaveService.php", "PHP", 0, 44, 0, 0, 0, 0, 0, 0, 10, 9, 63
"/home/zougmore/annuaire5/app/Services/LeaveValidationService.php", "PHP", 0, 18, 0, 0, 0, 0, 0, 0, 1, 4, 23
"/home/zougmore/annuaire5/app/Services/NotificationService.php", "PHP", 0, 184, 0, 0, 0, 0, 0, 0, 7, 36, 227
"/home/zougmore/annuaire5/app/Services/RoleService.php", "PHP", 0, 37, 0, 0, 0, 0, 0, 0, 0, 8, 45
"/home/zougmore/annuaire5/app/Traits/HasRoleChecks.php", "PHP", 0, 37, 0, 0, 0, 0, 0, 0, 9, 7, 53
